사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2021-11,2호선,41,신대방,189,2,"24,910","2,084","35,249","8,820","85,669","18,625","131,498","31,890","77,998","21,531","41,664","17,806","33,886","18,480","33,820","21,219","32,754","23,242","28,786","27,772","28,108","37,185","31,498","43,816","36,186","61,682","40,865","94,665","22,045","81,214","15,304","53,151","11,918","52,963","9,564","51,660","3,684","31,473",8,560,0,0,0,0,0,0
2021-11,2호선,42,구로디지털단지,302,10,"38,530","5,031","51,168","22,705","131,172","81,205","184,717","255,841","111,439","153,739","62,525","58,836","55,924","42,996","60,284","45,058","62,179","54,024","56,582","53,409","60,421","62,240","74,187","74,699","130,963","106,197","234,459","162,078","108,470","130,502","60,961","79,949","50,623","75,744","41,227","73,620","14,826","48,156",19,923,0,0,0,0,0,0
2021-11,2호선,43,대림(구로구청),596,15,"33,162","3,587","29,623","11,491","63,621","21,681","91,473","57,106","59,222","33,940","33,597","27,192","28,875","28,140","30,592","27,695","30,940","29,472","28,619","30,702","29,423","36,996","34,718","43,680","43,531","59,849","52,310","70,138","24,914","51,619","17,278","35,231","13,498","41,971","10,133","41,467","4,000","21,742",17,"1,216",0,0,0,0,0,0
2021-11,2호선,44,신도림,"3,645",38,"33,063","5,010","48,769","17,202","129,116","36,195","136,913","108,448","85,689","61,355","55,543","57,998","53,596","55,664","61,651","58,325","63,905","62,604","62,553","59,819","65,802","67,634","74,513","79,160","94,810","106,759","122,468","170,207","67,511","122,065","55,351","67,720","56,379","63,855","48,193","63,982","15,790","51,821",74,"15,750",0,1,0,0,0,0
2021-11,2호선,45,문래,8,1,"3,617","2,221","11,837","11,993","40,943","32,331","48,006","126,581","26,217","58,457","18,155","23,643","18,310","19,100","20,400","22,424","22,573","22,509","22,390","21,503","24,844","23,069","32,619","26,466","57,635","34,441","106,392","54,647","36,495","39,028","23,730","19,673","24,436","17,487","19,752","15,522","7,506","9,752",19,"1,050",0,0,0,0,0,0
2021-11,2호선,46,영등포구청,37,0,"5,392","2,952","11,775","14,160","38,648","34,638","48,425","126,852","29,333","56,986","22,635","27,556","23,533","24,547","26,416","23,931","26,621","26,510","28,444","25,332","30,911","25,528","36,432","28,969","57,109","35,926","107,549","53,833","36,656","36,986","25,719","20,419","24,721","18,188","18,333","16,892","6,428","12,301",25,"1,490",0,0,0,0,0,0
2021-11,2호선,47,당산,62,1,"6,430","2,975","16,195","12,144","44,025","27,970","55,749","74,220","33,904","37,041","22,426","18,704","21,997","17,355","22,672","19,616","22,551","21,272","20,783","21,318","22,969","24,469","26,662","30,437","39,329","44,281","59,769","73,579","26,063","48,597","18,986","30,154","18,845","28,831","16,904","26,545","6,282","17,978",26,"1,946",0,0,0,0,0,0
2021-11,2호선,48,합정,55,4,"7,669","3,325","16,813","13,188","42,592","32,754","56,005","92,123","36,566","81,904","25,859","44,983","26,081","43,156","31,125","46,710","35,866","52,426","37,766","47,866","41,741","47,489","50,456","55,474","70,535","75,210","113,140","108,838","73,546","73,218","54,394","35,737","61,372","29,444","58,120","25,742","24,143","18,299",56,"2,601",1,2,0,0,0,0
2021-11,2호선,49,홍대입구,597,15,"17,654","3,166","23,316","14,230","58,051","33,317","76,468","96,811","48,418","108,607","35,906","73,825","41,566","83,323","51,284","103,910","60,282","114,963","66,003","112,328","79,806","114,071","101,706","124,469","133,902","152,072","162,353","200,044","121,666","132,392","115,832","66,214","141,172","49,141","147,182","41,643","61,011","30,132",496,"6,611",2,1,0,0,0,0
2021-11,2호선,50,신촌,54,4,"5,729","2,432","13,057","15,334","33,212","31,494","48,879","74,396","33,862","80,519","31,719","53,147","38,322","48,978","46,246","53,979","47,564","60,310","50,515","54,699","58,766","51,208","70,503","53,883","86,032","72,803","83,018","104,314","56,897","64,354","57,001","34,343","61,195","29,230","61,653","26,734","25,256","18,730",55,846,0,0,0,0,0,0
2021-11,2호선,51,이대,31,0,"3,008",843,"7,758","7,647","23,669","11,642","32,996","35,231","19,084","32,597","14,124","22,209","15,739","18,862","22,319","22,743","21,061","25,550","19,554","20,676","23,604","19,939","29,027","20,906","39,793","26,898","33,846","38,986","19,989","27,135","16,093","16,292","16,347","16,090","12,783","16,360","3,928","12,089",1,668,0,1,0,0,0,0
2021-11,2호선,52,아현,24,0,"4,285","1,126","10,179","6,704","26,993","11,088","38,395","20,592","21,679","12,845","15,543","10,033","14,217","9,541","15,219","11,512","14,699","11,950","13,472","13,266","15,136","14,613","21,322","16,581","20,592","22,587","19,233","32,283","11,520","23,670","7,842","14,365","6,230","14,030","4,578","13,160","1,584","8,548",5,249,1,4,0,0,0,0
2021-11,2호선,53,충정로(경기대입구),15,0,"3,001",996,"6,042","6,227","14,911","19,542","21,496","58,448","13,509","28,464","10,119","13,097","10,871","10,063","11,987","10,645","12,120","12,323","12,572","10,533","13,470","11,365","16,956","11,990","27,548","15,427","46,665","21,334","13,901","14,350","9,491","8,848","9,038","8,964","6,616","8,335","2,364","5,956",11,304,2,3,0,0,0,0
2021-11,2호선,54,용답,1,0,"2,444",190,"3,146",914,"7,449","1,658","12,077","3,701","6,979","3,217","4,371","2,568","3,836","2,568","4,371","2,994","4,294","3,459","3,941","3,469","4,083","4,248","4,714","5,598","5,241","6,596","4,036","10,249","2,248","7,006","1,408","4,419","1,087","5,378",981,"4,997",367,"3,478",0,2,0,0,0,0,0,0
2021-11,2호선,55,신답,5,2,970,134,"1,791",457,"6,113",898,"10,536","1,684","4,792",945,"2,183","1,043","1,929","1,178","2,008","1,415","1,877","1,449","1,616","1,680","1,645","2,655","1,725","3,263","2,064","4,440","2,222","9,847",910,"6,835",554,"3,291",492,"3,342",418,"2,721",150,"2,007",0,16,0,0,0,0,0,0
2021-11,2호선,56,신설동,46,2,"1,229",239,"1,209","1,782","3,575","5,420","6,933","12,917","4,361","8,476","3,787","6,832","4,566","6,910","5,592","6,639","6,833","6,877","7,604","6,177","8,291","5,329","8,836","4,273","10,318","4,949","11,125","6,091","4,415","4,075","2,596","2,641","2,182","2,270","1,510","2,198",463,"1,788",4,213,0,0,0,0,0,0
2021-11,2호선,57,도림천,3,0,365,307,"1,228",802,"3,183","3,741","3,495","6,357","1,933","2,431","1,988","1,472","1,479","1,124","2,128","1,785","1,631","1,327","1,860","1,614","2,318","1,368","2,933","1,931","3,064","2,239","3,914","2,826","1,985","2,362",709,"1,434",732,"1,428",286,"1,190",150,830,3,79,0,1,0,0,0,0
2021-11,2호선,58,양천구청,32,1,"4,615",890,"10,708","2,257","31,503","4,893","30,146","9,711","15,686","4,794","10,609","4,312","9,549","4,827","9,834","6,451","8,650","6,986","7,439","7,661","7,386","10,075","8,188","12,554","9,436","17,957","9,153","28,866","3,778","24,947","2,494","13,022","2,312","12,557","2,026","10,773",516,"7,768",4,899,0,0,0,0,0,0
2021-11,2호선,59,신정네거리,56,0,"8,251",822,"15,558","3,165","48,366","5,359","45,586","12,051","24,012","7,905","16,172","7,349","14,474","8,300","14,987","9,945","13,447","11,272","11,854","12,070","11,341","15,695","13,247","19,509","13,128","28,133","11,913","46,496","6,697","36,612","5,011","18,163","3,967","17,324","3,321","15,763","1,103","10,478",12,"1,049",0,0,0,0,0,0
2021-11,2호선,60,용두(동대문구청),64,0,"1,033",149,"1,666",918,"4,887","2,393","8,678","5,863","4,612","3,182","3,123","3,017","3,339","3,303","3,695","2,988","3,575","3,687","3,905","3,888","4,221","4,352","4,451","3,805","4,677","4,463","5,265","7,850","2,245","5,516","1,351","2,668","1,286","2,669",690,"2,052",204,"1,574",0,32,2,0,0,0,0,0
2021-11,3호선,61,지축,1,0,"2,096","1,117","7,457","6,221","20,164","3,967","20,407","3,827","10,022","2,704","6,812","2,449","5,813","3,403","5,836","3,845","5,329","3,933","4,839","4,317","6,358","5,571","9,702","7,233","7,503","9,093","4,466","16,621","2,081","13,552","1,332","8,845","1,101","7,221",848,"7,587",346,"3,527",0,0,0,1,0,0,0,0
2021-11,3호선,62,구파발,148,1,"9,812","1,480","28,447","8,981","84,993","21,138","76,136","29,227","41,598","26,681","29,051","25,913","27,883","22,109","28,767","23,968","26,583","25,779","27,129","26,545","31,594","26,264","36,208","32,123","37,243","41,941","29,650","68,548","17,900","57,614","13,745","32,017","12,198","26,735","9,712","25,173","2,116","20,750",15,"4,414",0,9,0,0,0,0
2021-11,3호선,63,연신내,355,14,"26,127","1,846","50,026","10,572","128,634","21,692","154,425","34,022","87,107","33,357","56,406","32,535","51,122","34,436","54,893","37,165","51,915","41,131","48,047","43,616","48,755","53,740","54,057","64,152","52,984","85,331","45,800","136,545","30,301","117,134","23,951","61,842","22,129","57,237","18,347","52,709","6,343","34,018",23,"3,215",1,1,0,0,0,0
